[DELTA CHAIN] leg=ttx2772l entry_kind=EntryByDeltaRange underlying=NIFTY expiry= type=PE spot=23886.0 total_strikes=130
[DELTA CHAIN] ───────────────────────────────────────────────────────────────────────────────────────────────
[DELTA CHAIN]   Strike   LTP/Close     Delta       IV%     Theta            OI
[DELTA CHAIN]    21900        0.20   -0.0010    141.36   -8.0737        176800
[DELTA CHAIN]    21950        0.20   -0.0011    137.94   -8.0392         67340
[DELTA CHAIN]    22000        0.15   -0.0009    131.35   -6.2245       3426150
[DELTA CHAIN]    22050        0.20   -0.0011    131.17   -8.0022         82550
[DELTA CHAIN]    22100        0.15   -0.0009    124.76   -6.2189        199485
[DELTA CHAIN]    22150        0.20   -0.0012    124.39   -7.9600         72475
[DELTA CHAIN]    22200        0.20   -0.0012    120.97   -7.9169        307385
[DELTA CHAIN]    22250        0.20   -0.0012    117.55   -7.8720         88855
[DELTA CHAIN]    22300        0.15   -0.0010    111.45   -6.1312        316875
[DELTA CHAIN]    22350        0.20   -0.0013    110.78   -7.8199        103155
[DELTA CHAIN]    22400        0.20   -0.0014    107.36   -7.7709        308555
[DELTA CHAIN]    22450        0.15   -0.0011    101.44   -6.0368        213200
[DELTA CHAIN]    22500        0.20   -0.0014    100.59   -7.7146       2946905
[DELTA CHAIN]    22550        0.25   -0.0018     99.12   -9.2736        238225
[DELTA CHAIN]    22600        0.20   -0.0015     93.75   -7.6102        595920
[DELTA CHAIN]    22650        0.25   -0.0019     92.23   -9.1961        293085
[DELTA CHAIN]    22700        0.25   -0.0020     88.75   -9.1300        694915
[DELTA CHAIN]    22750        0.25   -0.0021     85.27   -9.0642        601705
[DELTA CHAIN]    22800        0.20   -0.0018     80.14   -7.4517       2186535
[DELTA CHAIN]    22850        0.25   -0.0022     78.31   -8.9362        386620
[DELTA CHAIN]    22900        0.30   -0.0027     76.17  -10.3826       1021995
[DELTA CHAIN]    22950        0.30   -0.0029     72.63  -10.3030        573235
[DELTA CHAIN]    23000        0.30   -0.0030     69.06  -10.1900       7818200
[DELTA CHAIN]    23050        0.30   -0.0031     65.49  -10.0812       2265315
[DELTA CHAIN]    23100        0.30   -0.0033     61.95  -10.0196       2368340
[DELTA CHAIN]    23150        0.40   -0.0044     60.15  -12.6195       1675960
[DELTA CHAIN]    23200        0.30   -0.0037     54.78   -9.8011       4990700
[DELTA CHAIN]    23250        0.35   -0.0044     52.00  -10.9946       2143310
[DELTA CHAIN]    23300        0.45   -0.0058     49.71  -13.4011       4706910
[DELTA CHAIN]    23350        0.45   -0.0063     45.93  -13.1750       2076035
[DELTA CHAIN]    23400        0.45   -0.0068     42.15  -12.9794       6332690
[DELTA CHAIN]    23450        0.50   -0.0081     38.80  -13.8745       3236155
[DELTA CHAIN]    23500        0.60   -0.0102     35.72  -15.7600      15336100
[DELTA CHAIN]    23550        0.75   -0.0136     32.69  -18.4184       4533360
[DELTA CHAIN]    23600        0.95   -0.0184     29.52  -21.5416       8719425
[DELTA CHAIN]    23650        1.40   -0.0282     26.80  -28.0480       5684640
[DELTA CHAIN]    23700        2.50   -0.0502     24.72  -41.3489      10545340
[DELTA CHAIN]    23750        5.30   -0.0992     23.44  -66.0534      14072240
[DELTA CHAIN]    23800       12.05   -0.1958     23.00  -102.4626      22018035
[DELTA CHAIN]    23850       25.50   -0.3435     23.04  -136.2311      17437615
[DELTA CHAIN]    23900       48.60   -0.5187     23.82  -151.9756      22903985
[DELTA CHAIN]    23950       80.35   -0.6792     24.68  -140.5851      12192830
[DELTA CHAIN]    24000      121.40   -0.7880     27.31  -125.0933       9195745
[DELTA CHAIN]    24050      166.30   -0.8564     30.20  -107.3037       2664675
[DELTA CHAIN]    24100      213.70   -0.8957     33.75  -95.2541       3043885
[DELTA CHAIN]    24150      261.65   -0.9241     36.79  -81.2936        873535
[DELTA CHAIN]    24200      311.05   -0.9368     41.18  -78.7610       2141945
[DELTA CHAIN]    24250      360.70   -0.9454     45.67  -77.8356        558805
[DELTA CHAIN]    24300      411.15   -0.9470     51.55  -86.2031       1233115
[DELTA CHAIN]    24350      460.25   -0.9567     54.56  -77.1030        242515
[DELTA CHAIN]    24400      511.75   -0.9510     62.62  -98.9971        439075
[DELTA CHAIN]    24450      561.30   -0.9564     66.48  -95.4769        185250
[DELTA CHAIN]    24500      609.85   -0.9667     67.50  -76.9075        425035
[DELTA CHAIN]    24550      656.20    0.0000      0.00    0.0000         77350
[DELTA CHAIN]    24600      708.45   -0.9778     71.63  -57.0349        115765
[DELTA CHAIN]    24650      766.00   -0.9462     95.52  -165.3988         65585
[DELTA CHAIN]    24700      802.30    0.0000      0.00    0.0000         81120
[DELTA CHAIN]    24750      842.55    0.0000      0.00    0.0000         31135
[DELTA CHAIN]    24800      904.55    0.0000      0.00    0.0000         63960
[DELTA CHAIN]    24850      937.40    0.0000      0.00    0.0000         27755
[DELTA CHAIN]    24900     1010.80   -0.9731    105.62  -102.3099         74100
[DELTA CHAIN]    24950      996.95    0.0000      0.00    0.0000         12090
[DELTA CHAIN]    25000     1116.30   -0.9575    129.46  -186.0989        249535
[DELTA CHAIN]    25050     1145.40    0.0000      0.00    0.0000          4875
[FF OPTION SUBSCRIBE] token=18978050
[DELTA CHAIN]    25100     1199.05    0.0000      0.00    0.0000         12415
[MOMENTUM TOKEN SUBSCRIBE] mode=fast-forward leg=k49do8lv token=18978050 symbol=NIFTY2650523900CE
[DELTA CHAIN]    25150     1249.70    0.0000      0.00    0.0000          2535
[PENDING ENTRY] leg=k49do8lv current_price=38.15 strike=23900.0 option=CE — entering immediately
[DELTA CHAIN]    25200     1292.00    0.0000      0.00    0.0000         49855
[DELTA CHAIN]    25250     1342.15    0.0000      0.00    0.0000          2145
[DELTA CHAIN]    25300     1391.50    0.0000      0.00    0.0000          4225
[DELTA CHAIN]    25350     1191.35    0.0000      0.00    0.0000           715
[DELTA CHAIN]    25400     1456.70    0.0000      0.00    0.0000          3120
[DELTA CHAIN]    25450     1498.35    0.0000      0.00    0.0000           780
[DELTA CHAIN]    25500     1577.25    0.0000      0.00    0.0000        141375
[DELTA CHAIN]    25550     1640.35    0.0000      0.00    0.0000           585
[DELTA CHAIN]    25600     1694.80    0.0000      0.00    0.0000          1755
[DELTA CHAIN]    25650     1400.00    0.0000      0.00    0.0000          1625
[DELTA CHAIN]    25700     1426.55    0.0000      0.00    0.0000          1820
[DELTA CHAIN]    25750     1732.20    0.0000      0.00    0.0000            65
[DELTA CHAIN]    25800     1860.00    0.0000      0.00    0.0000           650
[DELTA CHAIN]    25850     1910.00    0.0000      0.00    0.0000           195
[DELTA CHAIN]    25900     1950.00    0.0000      0.00    0.0000           390
[DELTA CHAIN]    25950     2832.50   -0.6671    799.99  -4722.5276             0
[DELTA CHAIN]    26000     2105.10    0.0000      0.00    0.0000         85345
[DELTA CHAIN]    26050     2930.20   -0.6717    814.38  -4780.3073             0
[DELTA CHAIN]    26100     2059.00    0.0000      0.00    0.0000           715
[DELTA CHAIN]    26150     3028.15   -0.6762    828.70  -4837.2224             0
[DELTA CHAIN]    26200     2250.00    0.0000      0.00    0.0000           260
[DELTA CHAIN]    26250     3126.30   -0.6805    842.94  -4893.2016             0
[DELTA CHAIN]    26300     2130.05    0.0000      0.00    0.0000            65
[DELTA CHAIN]    26350     2329.15    0.0000      0.00    0.0000           520
[DELTA CHAIN]    26400     2356.65    0.0000      0.00    0.0000            65
[DELTA CHAIN]    26450     3323.05   -0.6885    871.08  -5002.1097             0
[DELTA CHAIN]    26500     2570.00    0.0000      0.00    0.0000          7215
[DELTA CHAIN]    26550     3421.65   -0.6923    885.00  -5055.2412             0
[DELTA CHAIN] ───────────────────────────────────────────────────────────────────────────────────────────────
