
[LIVE CHAIN] leg=callLeg1-k49do8lv  NIFTY  expiry=2026-05-12  spot=23966.8475503496  strikes=108
[LIVE CHAIN] ──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[LIVE CHAIN]    CE_LTP   CE_IV%   CE_Delta  │   STRIKE  │   PE_Delta   PE_IV%     PE_LTP
[LIVE CHAIN]      5.20    25.76     0.0376  │    24600  │    -0.9643    25.42     633.60
[LIVE CHAIN]      4.35    26.55     0.0313  │    24650  │    -0.9466    30.60     688.00
[LIVE CHAIN]      3.65    27.32     0.0262  │    24700  │     0.0000     0.00     730.00
[LIVE CHAIN]      3.20    28.26     0.0226  │    24750  │    -0.8827    47.25     814.90
[LIVE CHAIN]      2.80    29.16     0.0195  │    24800  │    -0.9674    32.59     834.30
[LIVE CHAIN]      2.55    30.20     0.0174  │    24850  │    -0.9664    34.75     884.85
[LIVE CHAIN]      2.20    30.98     0.0149  │    24900  │     0.0000     0.00     933.00
[LIVE CHAIN]      2.10    32.17     0.0139  │    24950  │    -0.9383    45.77     995.00
[LIVE CHAIN]      1.90    33.10     0.0123  │    25000  │     0.0000     0.00    1029.70
[LIVE CHAIN]      1.80    34.22     0.0114  │    25050  │    -0.8634    70.10    1142.95
[LIVE CHAIN]      1.60    35.02     0.0100  │    25100  │    -0.9471    50.09    1143.55
[LIVE CHAIN]      1.55    36.19     0.0095  │    25150  │    -0.8732    73.38    1240.05
[LIVE CHAIN]      1.35    36.87     0.0082  │    25200  │    -0.9725    45.97    1235.10
[LIVE CHAIN]      1.35    38.15     0.0080  │    25250  │    -0.9453    57.09    1296.25
[LIVE CHAIN]      1.20    38.87     0.0070  │    25300  │    -0.9392    61.24    1350.00
[LIVE CHAIN]      1.15    39.93     0.0066  │    25350  │     0.0000     0.00    1122.50
[LIVE CHAIN]      1.10    40.96     0.0062  │    25400  │     0.0000     0.00    1430.00
[LIVE CHAIN]      1.05    41.96     0.0058  │    25450  │     0.0000     0.00    1100.00
[LIVE CHAIN]      0.95    42.71     0.0052  │    25500  │     0.0000     0.00    1531.55
[LIVE CHAIN]      0.90    43.65     0.0049  │    25550  │    -0.8716    97.57    1661.00
[LIVE CHAIN]      0.85    44.56     0.0045  │    25600  │    -0.8874    94.23    1696.45
[LIVE CHAIN]      0.80    45.44     0.0042  │    25650  │    -0.9707    62.97    1688.00
[LIVE CHAIN]      0.75    46.30     0.0039  │    25700  │    -0.9200    86.53    1770.00
[LIVE CHAIN]      0.75    47.46     0.0038  │    25750  │    -0.8761   107.22    1865.00
[LIVE CHAIN]      0.70    48.26     0.0035  │    25800  │    -0.9227    90.16    1870.00
[LIVE CHAIN]      0.70    49.39     0.0035  │    25850  │     0.0000     0.00    1580.00
[LIVE CHAIN]      0.60    49.76     0.0030  │    25900  │     0.0000     0.00    1930.00
[LIVE CHAIN]      0.65    51.27     0.0031  │    25950  │    -0.6763   264.88    2676.70
[LIVE CHAIN]      0.60    51.97     0.0029  │    26000  │     0.0000     0.00    2033.00
[LIVE CHAIN]      0.60    53.09     0.0028  │    26050  │    -0.6812   270.01    2774.55
[LIVE CHAIN]      0.65    54.60     0.0029  │    26100  │     0.0000     0.00    1885.00
[LIVE CHAIN]      0.55    54.81     0.0025  │    26150  │    -0.6859   275.11    2872.65
[LIVE CHAIN]      0.55    55.91     0.0025  │    26200  │    -0.6882   277.66    2921.80
[LIVE CHAIN]      0.50    56.47     0.0022  │    26250  │    -0.6904   280.20    2971.00
[LIVE CHAIN]      0.50    57.54     0.0022  │    26300  │     0.0000     0.00    2110.45
[LIVE CHAIN]      0.45    58.05     0.0020  │    26350  │    -0.6946   285.25    3069.55
[LIVE CHAIN]      0.45    59.08     0.0020  │    26400  │     0.0000     0.00    2219.95
[LIVE CHAIN]      0.50    60.72     0.0021  │    26450  │    -0.6987   290.25    3168.20
[LIVE CHAIN]      0.50    61.77     0.0021  │    26500  │     0.0000     0.00    2153.00
[LIVE CHAIN]      0.40    61.55     0.0017  │    26550  │     0.0000     0.00    2282.30
[LIVE CHAIN] ──────────────────────────────────────────────────────────────────────────────────────────────────────────────

